ORDERTYPE,CUSTOMER,ITEMCODE,ORDERDATE,ORDERNO,OREDEREDQUANTITY,DELIVERYDATE,INVOICENO,DELIVEREDQUANTITY
ES1,C00237,IT0001433,15-Jan-14,219856,15,16-Feb-14,21300726,15
ES1,C00237,IT0001016,15-Jan-14,219857,750,11-Feb-14,21300626,750
ES1,C00237,IT0001024,15-Jan-14,219857,320,16-Feb-14,21300727,320
ES1,C00237,IT0001084,15-Jan-14,219857,250,11-Feb-14,21300626,250
ES3,C00196,IT0001076,27-Mar-14,255311,250,28-Mar-14,21301499,250
ES1,C00110,IT0001088,1-Apr-14,255331,480,21-Apr-14,21301932,480
ES1,C00354,IT0001020,14-Apr-14,255388,1280,15-Apr-14,21301834,1280
ES1,C00354,IT0001012,14-Apr-14,255388,1000,27-Apr-14,21302070,1000
ES1,C00138,IT0001127,16-Feb-14,219892,280,21-Mar-14,21301312,280
ES1,C00138,IT0001137,16-Feb-14,219892,200,21-Mar-14,21301312,200
ES1,C00138,IT0001030,16-Feb-14,219893,30,20-Mar-14,21301304,30
ES1,C00138,IT0001084,16-Feb-14,219893,750,20-Mar-14,21301304,750
ES1,C00138,IT0001106,16-Feb-14,219893,30,20-Mar-14,21301304,30
ES3,C00127,IT0001012,20-Apr-14,255414,1500,27-Apr-14,21302052,1000
ES3,C00127,IT0001012,20-Apr-14,255414,1500,13-May-14,21302358,500
ES3,C00127,IT0001151,20-Apr-14,255414,160,27-Apr-14,21302052,160
ES1,C00280,IT0001159,3-Feb-14,254993,24,14-Feb-14,21300735,24
ES3,C00313,IT0001012,2-Feb-14,254996,250,3-Feb-14,21300518,250
ES3,C00313,IT0001471,2-Feb-14,254996,13,3-Feb-14,21300518,13
ES1,C00354,IT0001020,7-Feb-14,255036,800,9-Feb-14,21300624,640
ES1,C00354,IT0001020,7-Feb-14,255036,800,10-Feb-14,21300656,160
ES3,C00154,IT0001124,12-Feb-14,255056,2,13-Feb-14,21300694,2
ES1,C00102,IT0001012,16-Feb-14,255076,2000,19-Feb-14,21300809,2000
ES3,C00216,IT0001040,4-May-14,255497,72,4-May-14,21302189,72
ES3,C00311,IT0001076,13-May-14,255540,250,20-May-14,21302543,250
ES1,C00351,IT0001415,21-May-14,255580,3,27-May-14,21302674,3
ES3,C00313,IT0001040,25-May-14,255623,72,26-May-14,21302662,72
ES3,C00313,IT0001101,25-May-14,255623,180,26-May-14,21302662,180
ES1,C00246,IT0001076,8-Jun-14,255706,500,9-Jun-14,21302922,500
ES3,C00301,IT0001076,16-Jun-14,255763,500,16-Jun-14,21303106,500
ES1,C00246,IT0001012,22-Jun-14,255789,250,22-Jun-14,21303242,250
ES3,C00335,IT0001159,25-Jun-14,255809,16,25-Jun-14,21303324,16
ES3,C00335,IT0001068,25-Jun-14,255809,72,25-Jun-14,21303324,72
ES1,C00186,IT0001068,29-Jun-14,255832,72,29-Jun-14,21303413,72
ES3,C00115,IT0001012,1-Jul-14,255846,1500,4-Jul-14,21303521,1250
ES3,C00115,IT0001012,1-Jul-14,255846,1500,7-Jul-14,21303569,250
ES3,C00115,IT0001088,1-Jul-14,255846,640,2-Jul-14,21303459,320
ES3,C00115,IT0001088,1-Jul-14,255846,640,4-Jul-14,21303521,160
ES3,C00115,IT0001088,1-Jul-14,255846,640,7-Jul-14,21303569,160
ES3,C00311,IT0001040,3-Jul-14,255869,72,6-Jul-14,21303528,72
ES3,C00315,IT0001076,7-Jul-14,255892,250,9-Jul-14,21303610,250
ES3,C00315,IT0001124,7-Jul-14,255892,64,9-Jul-14,21303610,64
ES1,C00257,IT0001124,23-Feb-14,255119,24,26-Feb-14,21300936,24
ES1,C00140,IT0001033,24-Feb-14,255122,130,26-Feb-14,21300921,130
ES1,C00313,IT0001471,27-Feb-14,255145,25,27-Feb-14,21300975,25
ES1,C00283,IT0001471,6-Mar-14,255182,45,30-Mar-14,21301496,45
ES3,C00205,IT0001151,18-Mar-14,255245,240,24-Mar-14,21301392,64
ES3,C00205,IT0001151,18-Mar-14,255245,240,27-Mar-14,21301462,64
ES3,C00205,IT0001151,18-Mar-14,255245,240,1-Apr-14,21301581,112
ES3,C00205,IT0001139,18-Mar-14,255245,80,24-Mar-14,21301392,48
ES3,C00205,IT0001139,18-Mar-14,255245,80,27-Mar-14,21301462,32
ES1,C00285,IT0001016,1-Oct-14,290190,1500,6-Nov-14,21305787,1500
ES1,C00245,IT0001415,12-Oct-14,290204,100,22-Oct-14,21305478,100
ES1,C00245,IT0001481,12-Oct-14,290204,50,22-Oct-14,21305478,50
ES1,C00241,IT0001016,18-Nov-14,290247,86,15-Dec-14,21306684,86
ES1,C00308,IT0001213,28-Nov-14,290267,6000,10-Dec-14,21306572,2000
ES1,C00308,IT0001213,28-Nov-14,290267,6000,24-Dec-14,21306923,750
ES1,C00308,IT0001213,28-Nov-14,290267,6000,30-Dec-14,21307082,2500
ES1,C00284,IT0001084,26-Feb-14,219897,832,26-Feb-14,21300919,832
ES1,C00225,IT0001009,21-Feb-14,220747,190,2-Apr-14,21301570,190
ES1,C00225,IT0001007,21-Feb-14,220747,132,11-Apr-14,21301747,132
ES1,C00225,IT0001513,21-Feb-14,220747,22,15-May-14,21302387,22
ES1,C00225,IT0001223,21-Feb-14,220747,100,15-May-14,21302387,100
ES1,C00230,IT0001365,21-Feb-14,220750,30,30-Mar-14,21301522,30
ES1,C00230,IT0001365,21-Feb-14,220750,17,30-Mar-14,21301522,17
ES1,C00224,IT0001354,5-Mar-14,220753,20,10-Mar-14,21301112,17
ES1,C00224,IT0001354,5-Mar-14,220753,20,22-Apr-14,21301928,3
ES1,C00224,IT0001410,5-Mar-14,220753,250,10-Mar-14,21301112,34
ES1,C00224,IT0001410,5-Mar-14,220753,250,16-Mar-14,21301238,216
ES1,C00224,IT0001427,5-Mar-14,220753,54,10-Mar-14,21301112,27
ES1,C00224,IT0001427,5-Mar-14,220753,54,22-Apr-14,21301928,27
ES1,C00224,IT0001390,5-Mar-14,220753,60,22-Apr-14,21301928,38
ES1,C00224,IT0001390,5-Mar-14,220753,60,7-May-14,21302233,22
ES1,C00224,IT0001446,5-Mar-14,220753,30,16-Mar-14,21301238,30
ES1,C00283,IT0001488,17-Oct-14,256430,8,20-Oct-14,21305449,8
